
ida,成功单数,失败单数,成功率,ln振幅,平均成功持仓时间,平均失败持仓时间,平均成功盈利,平均失败损失,最大回撤率,数学期望,顺势成功单数,顺势失败单数,顺势成功率,平均顺势成功时间,平均顺势失败时间,顺势最大回撤
AUDCAD,2,0,1.0,0.0031101580496980664,65.0,0,0.0009272651021982464,0,-0.002870756755156972,0.0009272651021982464
AUDCHF,0,0,0,0.0027826358318461955,0,0,0,0,0,0.0
AUDNZD,2,0,1.0,0.002555039745059331,6.0,0,0.0007042790498150418,0,-5.634067327120618e-05,0.0007042790498150418
AUDSGD,4,1,0.8,0.003876557494436744,2.5,72.0,0.0009273337259247639,-0.005307420632597601,-0.0004887203346756314,-0.00031961714577970885
AUDUSD,0,0,0,0.0029655499514327616,0,0,0,0,0,0.0
CADCHF,0,0,0,0.0030494718612495905,0,0,0,0,0,0.0
EURAUD,1,0,1.0,0.006534256001180831,2.0,0,0.0005484949832774721,0,-0.0002742474916388103,0.0005484949832774721
EURCAD,0,0,0,0.0050410976704870865,0,0,0,0,0,0.0
EURGBP,1,0,1.0,0.0009931939570823416,4.0,0,0.0005952703068347799,0,-0.00022999080036798997,0.0005952703068347799
EURJPY,5,0,1.0,0.8230336374167027,7.6,0,0.00027305094697500644,0,-0.0010818498876540553,0.00027305094697500644
EURNZD,3,0,1.0,0.005800427067437754,56.666666666666664,0,0.0005876674321725923,0,-0.0032023710103793756,0.0005876674321725923
EURSGD,5,0,1.0,0.002800846075715541,46.8,0,0.0007309766905235005,0,-0.0032906243117542485,0.0007309766905235005
EURUSD,0,0,0,0.003837453208277882,0,0,0,0,0,0.0
GBPAUD,5,1,0.8333333333333334,0.007541503601107964,24.0,160.0,0.000412785417186483,-0.0051712770249658134,-0.002090887175727931,-0.0005178916565055662
GBPCAD,1,0,1.0,0.0069972420444556855,15.0,0,0.00037484543710880223,0,-0.0002580104956721998,0.00037484543710880223
GBPJPY,10,0,1.0,1.1213074160371461,19.8,0,0.00042865116027514407,0,-0.001026104316887767,0.00042865116027514407
GBPNZD,1,0,1.0,0.008582332771498268,4.0,0,0.0008363985878264114,0,0,0.0008363985878264114
GBPSGD,0,0,0,0.0029521926592795916,0,0,0,0,0,0.0
GBPUSD,0,0,0,0.005267031160255143,0,0,0,0,0,0.0
NZDCAD,0,0,0,0.003979433003183205,0,0,0,0,0,0.0
NZDCHF,0,0,0,0.0023168205510905324,0,0,0,0,0,0.0
NZDUSD,0,0,0,0.003376881655022197,0,0,0,0,0,0.0
USDCAD,0,0,0,0.0025444703233373374,0,0,0,0,0,0.0
USDCHF,0,0,0,0.004496443393601144,0,0,0,0,0,0.0
USDJPY,0,0,0,0.36749626981810607,0,0,0,0,0,0.0
USDSGD,3,0,1.0,0.00491992506936135,10.0,0,0.0004476642372040862,0,-0.0005904972127125275,0.0004476642372040862

ida,成功单数,失败单数,成功率,ln振幅,平均成功持仓时间,平均失败持仓时间,平均成功盈利,平均失败损失,最大回撤率,数学期望,顺势成功单数,顺势失败单数,顺势成功率,平均顺势成功时间,平均顺势失败时间,顺势最大回撤

ida,成功单数,失败单数,成功率,ln振幅,平均成功持仓时间,平均失败持仓时间,平均成功盈利,平均失败损失,最大回撤率,数学期望,顺势成功单数,顺势失败单数,顺势成功率,平均顺势成功时间,平均顺势失败时间,顺势最大回撤
AUDCAD,3,0,1.0,0.0031101580496980664,66.0,0,0.000874695771471188,0,-0.002969701155322234,0.000874695771471188
AUDCHF,0,0,0,0.0027826358318461955,0,0,0,0,0,0.0
AUDNZD,3,0,1.0,0.002555039745059331,4.333333333333333,0,0.0005915484282337111,0,-5.634067327120618e-05,0.0005915484282337111
AUDSGD,8,1,0.8888888888888888,0.003876557494436744,2.0,72.0,0.0008039668396622868,-0.005307420632597601,-0.0004887203346756314,0.0001249237871889657
AUDUSD,0,0,0,0.0029655499514327616,0,0,0,0,0,0.0
CADCHF,0,0,0,0.0030494718612495905,0,0,0,0,0,0.0
EURAUD,2,0,1.0,0.006534256001180831,2.0,0,0.0003868123819872922,0,-0.0002742474916388103,0.0003868123819872922
EURCAD,1,0,1.0,0.0050410976704870865,4.0,0,0.000223790216418308,0,-0.000335685324627462,0.000223790216418308
EURGBP,1,0,1.0,0.0009931939570823416,4.0,0,0.0005952703068347799,0,-0.00022999080036798997,0.0005952703068347799
EURJPY,11,0,1.0,0.8230336374167027,5.0,0,0.00025736996299146394,0,-0.0010818498876540553,0.00025736996299146394
EURNZD,4,0,1.0,0.005800427067437754,49.25,0,0.0005815956445519987,0,-0.0032023710103793756,0.0005815956445519987
EURSGD,13,0,1.0,0.002800846075715541,19.384615384615383,0,0.0006526894235164173,0,-0.0032906243117542485,0.0006526894235164173
EURUSD,0,0,0,0.003837453208277882,0,0,0,0,0,0.0
GBPAUD,14,1,0.9333333333333333,0.007541503601107964,13.5,160.0,0.00033205141954663423,-0.0051712770249658134,-0.002090887175727931,-3.483714342086223e-05
GBPCAD,4,0,1.0,0.0069972420444556855,15.0,0,0.0002153885527382423,0,-0.0005307700548300247,0.0002153885527382423
GBPJPY,23,0,1.0,1.1213074160371461,20.47826086956522,0,0.00033369847296256034,0,-0.0012103566368817673,0.00033369847296256034
GBPNZD,4,0,1.0,0.008582332771498268,3.5,0,0.0005175460418597202,0,-0.00015708886609560566,0.0005175460418597202
GBPSGD,3,0,1.0,0.0029521926592795916,4.333333333333333,0,0.0003578344449167178,0,-0.00012886044413899388,0.0003578344449167178
