id,stockid_i,stockid_j,date1,time1,lnA_B,lnA_B_sub,lnA_BsubC,lnA_BaddC,close_1,close_2,pearson_,norm_,avg_,stdev_,sample,commission,norm_num,open_,close_,clsoe_stats,values
14,GBPCAD,GBPSGD,2015.11.30,03:30,-0.05514043840611205,0.0004788603863479235,-0.05485791794504302,-0.055422879071913456,2.01009,2.12404,,,,,100,0.0006,0.9,0,0,0,0
15,GBPCAD,GBPSGD,2015.11.30,03:45,-0.054924189106858035,0.00021624929925401215,-0.054641580818902136,-0.05520671754993378,2.0099,2.12338,,,,,100,0.0006,0.9,0,0,0,0
16,GBPCAD,GBPSGD,2015.11.30,04:00,-0.055096189038056465,-0.00017199993119842993,-0.05481374039475673,-0.055378557926646144,2.01069,2.12458,,,,,100,0.0006,0.9,0,0,0,0
17,GBPCAD,GBPSGD,2015.11.30,04:15,-0.05522127317995651,-0.0001250841419000448,-0.054938771341815795,-0.055503695233347417,2.01006,2.12418,,,,,100,0.0006,0.9,0,0,0,0
18,GBPCAD,GBPSGD,2015.11.30,04:30,-0.054511925780100334,0.000709347399856175,-0.05422926423714769,-0.05479450744808223,2.01035,2.12298,,,,,100,0.0006,0.9,0,0,0,0
19,GBPCAD,GBPSGD,2015.11.30,04:45,-0.05435568233251953,0.0001562434475808061,-0.05407298083514589,-0.054638303932343146,2.01038,2.12268,,,,,100,0.0006,0.9,0,0,0,0
20,GBPCAD,GBPSGD,2015.11.30,05:00,-0.05365375287867824,0.0007019294538412879,-0.053370851439652145,-0.053936574307114626,2.01037,2.12118,,,,,100,0.0006,0.9,0,0,0,0
21,GBPCAD,GBPSGD,2015.11.30,05:15,-0.05378944279982911,-0.0001356899211508722,-0.0535066107059291,-0.05407219492235382,2.01059,2.1217,,,,,100,0.0006,0.9,0,0,0,0
22,GBPCAD,GBPSGD,2015.11.30,05:30,-0.054584210394785226,-0.0007947675949561139,-0.0543015355349471,-0.05486680537212718,2.01011,2.12288,,,,,100,0.0006,0.9,0,0,0,0
23,GBPCAD,GBPSGD,2015.11.30,05:45,-0.05446074347577934,0.0001234669190058879,-0.05417798868827073,-0.054743418335617466,2.00979,2.12228,,,,,100,0.0006,0.9,0,0,0,0
24,GBPCAD,GBPSGD,2015.11.30,06:00,-0.0543004420383465,0.00016030143743284153,-0.05401774320495223,-0.05458306097569632,2.01051,2.1227,,,,,100,0.0006,0.9,0,0,0,0
25,GBPCAD,GBPSGD,2015.11.30,06:15,-0.05395124617154401,0.0003491958668024875,-0.05366845140324783,-0.05423396098956823,2.01053,2.12198,,,,,100,0.0006,0.9,0,0,0,0
26,GBPCAD,GBPSGD,2015.11.30,06:30,-0.0539782224183023,-2.6976246758292355e-05,-0.05369546763079369,-0.05426089727814043,2.01076,2.12228,,,,,100,0.0006,0.9,0,0,0,0
27,GBPCAD,GBPSGD,2015.11.30,06:45,-0.05392585520260862,5.2367215693682745e-05,-0.05364306310005007,-0.054208567356402226,2.0106,2.122,,,,,100,0.0006,0.9,0,0,0,0
28,GBPCAD,GBPSGD,2015.11.30,07:00,-0.05393657430711485,-1.0719104506229371e-05,-0.05365375287867846,-0.05421931577020633,2.01037,2.12178,,,,,100,0.0006,0.9,0,0,0,0
29,GBPCAD,GBPSGD,2015.11.30,07:15,-0.05425623744166941,-0.00031966313455455975,-0.0539734853191447,-0.0545389096380301,2.01022,2.1223,,,,,100,0.0006,0.9,0,0,0,0
30,GBPCAD,GBPSGD,2015.11.30,07:30,-0.05400518066035731,0.00025105678131209785,-0.053722415212410835,-0.05428786617460735,2.01063,2.1222,,,,,100,0.0006,0.9,0,0,0,0
31,GBPCAD,GBPSGD,2015.11.30,07:45,-0.053794652559868816,0.00021052810048849402,-0.0535117937987899,-0.054077431334493165,2.01039,2.1215,,,,,100,0.0006,0.9,0,0,0,0
32,GBPCAD,GBPSGD,2015.11.30,08:00,-0.0536527877194698,0.0001418648403990197,-0.05336994229260894,-0.05393555316741627,2.01077,2.1216,,,,,100,0.0006,0.9,0,0,0,0
33,GBPCAD,GBPSGD,2015.11.30,08:15,-0.05356110843506301,9.167928440678708e-05,-0.053278223001776315,-0.05384391386681209,2.01067,2.1213,,,,,100,0.0006,0.9,0,0,0,0
34,GBPCAD,GBPSGD,2015.11.30,08:30,-0.05370986733489258,-0.0001487588998295708,-0.05342703524099257,-0.05399261945741729,2.01075,2.1217,,,,,100,0.0006,0.9,0,0,0,0
35,GBPCAD,GBPSGD,2015.11.30,08:45,-0.05377168425656398,-6.181692167139818e-05,-0.05348889215400543,-0.054054396410357586,2.01091,2.122,,,,,100,0.0006,0.9,0,0,0,0
36,GBPCAD,GBPSGD,2015.11.30,09:00,-0.053674605581020995,9.70786755429831e-05,-0.05339182680639665,-0.053957304414415264,2.0112,2.1221,,,,,100,0.0006,0.9,0,0,0,0
37,GBPCAD,GBPSGD,2015.11.30,09:15,-0.05310913962184005,0.0005654659591809441,-0.05282625152105591,-0.053391947719578,2.01156,2.12128,,,,,100,0.0006,0.9,0,0,0,0
38,GBPCAD,GBPSGD,2015.11.30,09:30,-0.053392145756723464,-0.0002830061348834123,-0.05310931099633176,-0.053674900544232074,2.01137,2.12168,,,,,100,0.0006,0.9,0,0,0,0
39,GBPCAD,GBPSGD,2015.11.30,09:45,-0.05399185551078878,-0.000599709754065314,-0.05370918331442809,-0.05427444782615842,2.01132,2.1229,,,,,100,0.0006,0.9,0,0,0,0
40,GBPCAD,GBPSGD,2015.11.30,10:00,-0.05309302329962651,0.0008988322111622704,-0.05281008984368751,-0.05337587672686728,2.01127,2.12094,,,,,100,0.0006,0.9,0,0,0,0
41,GBPCAD,GBPSGD,2015.11.30,10:15,-0.052975363853333124,0.00011765944629338332,-0.052692318281106654,-0.053258329333432886,2.01071,2.1201,,,,,100,0.0006,0.9,0,0,0,0
42,GBPCAD,GBPSGD,2015.11.30,10:30,-0.05284003208477339,0.00013533176855973217,-0.05255704391650673,-0.05312294019339214,2.01139,2.12053,,,,,100,0.0006,0.9,0,0,0,0
43,GBPCAD,GBPSGD,2015.11.30,10:45,-0.053106396405507184,-0.0002663643207337918,-0.052823470954475704,-0.05338924183236804,2.0113,2.121,,,,,100,0.0006,0.9,0,0,0,0
44,GBPCAD,GBPSGD,2015.11.30,11:00,-0.05339611986084358,-0.0002897234553363992,-0.05311308497018685,-0.05367907466541755,2.00994,2.12018,,,,,100,0.0006,0.9,0,0,0,0
45,GBPCAD,GBPSGD,2015.11.30,11:15,-0.05293764301968229,0.0004584768411612927,-0.05265432747037435,-0.05322087832402389,2.00887,2.11808,,,,,100,0.0006,0.9,0,0,0,0
46,GBPCAD,GBPSGD,2015.11.30,11:30,-0.05287308140511404,6.456161456824816e-05,-0.05258973909737885,-0.05315634345272657,2.00881,2.11788,,,,,100,0.0006,0.9,0,0,0,0
47,GBPCAD,GBPSGD,2015.11.30,11:45,-0.05211946098444642,0.0007536204206676222,-0.05183602498239781,-0.05240281667329094,2.00966,2.11718,,,,,100,0.0006,0.9,0,0,0,0
48,GBPCAD,GBPSGD,2015.11.30,12:00,-0.05241795722541709,-0.0002984962409706693,-0.052134547999494574,-0.052701286153306826,2.00925,2.11738,,,,,100,0.0006,0.9,0,0,0,0
49,GBPCAD,GBPSGD,2015.11.30,12:15,-0.05302963482801715,-0.0006116776026000581,-0.05274625504999075,-0.053312934324694417,2.00823,2.1176,,,,,100,0.0006,0.9,0,0,0,0
50,GBPCAD,GBPSGD,2015.11.30,12:30,-0.05397179747056391,-0.0009421626425467622,-0.05368861831065763,-0.05425489646273485,2.00776,2.1191,,,,,100,0.0006,0.9,0,0,0,0
51,GBPCAD,GBPSGD,2015.11.30,12:45,-0.05404363419504843,-7.183672448451972e-05,-0.05376054588847945,-0.0543266423853076,2.00826,2.11978,,,,,100,0.0006,0.9,0,0,0,0
52,GBPCAD,GBPSGD,2015.11.30,13:00,-0.05429413484573831,-0.0002505006506898777,-0.05401114000378893,-0.05457704962426402,2.00842,2.12048,,,,,100,0.0006,0.9,0,0,0,0
53,GBPCAD,GBPSGD,2015.11.30,13:15,-0.05406066900184747,0.00023346584389083436,-0.053777570009676534,-0.054343687871661106,2.00815,2.1197,,,,,100,0.0006,0.9,0,0,0,0
54,GBPCAD,GBPSGD,2015.11.30,13:30,-0.053646025442720346,0.0004146435591271258,-0.05336285697446863,-0.053929113749289326,2.00849,2.11918,,,,,100,0.0006,0.9,0,0,0,0
55,GBPCAD,GBPSGD,2015.11.30,13:45,-0.05421062271342303,-0.0005645972707026825,-0.053927470281139644,-0.05449369499310153,2.00747,2.1193,,,,,100,0.0006,0.9,0,0,0,0
56,GBPCAD,GBPSGD,2015.11.30,14:00,-0.05407351237873781,0.00013711033468521983,-0.053790373308373884,-0.05435657130406035,2.00784,2.1194,,,,,100,0.0006,0.9,0,0,0,0
57,GBPCAD,GBPSGD,2015.11.30,14:15,-0.05513254790147448,-0.0010590355227366732,-0.05484961978219094,-0.05541539599507839,2.00721,2.12098,,,,,100,0.0006,0.9,0,0,0,0
58,GBPCAD,GBPSGD,2015.11.30,14:30,-0.054544653558879164,0.0005878943425953187,-0.05426152517714289,-0.05482770180162411,2.00697,2.11948,,,,,100,0.0006,0.9,0,0,0,0
59,GBPCAD,GBPSGD,2015.11.30,14:45,-0.05459712873765554,-5.247517877637886e-05,-0.054313986995008556,-0.05488019033374847,2.00677,2.11938,,,,,100,0.0006,0.9,0,0,0,0
60,GBPCAD,GBPSGD,2015.11.30,15:00,-0.05540692949611814,-0.0008098007584625977,-0.05512387591218526,-0.055689902983390716,2.00577,2.12004,,,,,100,0.0006,0.9,0,0,0,0
61,GBPCAD,GBPSGD,2015.11.30,15:15,-0.05445088325383063,0.0009560462422875116,-0.054167674687710665,-0.054734011635566904,2.00659,2.11888,,,,,100,0.0006,0.9,0,0,0,0
62,GBPCAD,GBPSGD,2015.11.30,15:30,-0.054748800154037935,-0.00029791690020730677,-0.05446584801821952,-0.05503167225059202,2.00781,2.1208,,,,,100,0.0006,0.9,0,0,0,0
63,GBPCAD,GBPSGD,2015.11.30,15:45,-0.05446109616702277,0.0002877039870151643,-0.0541780879767636,-0.054744024286306314,2.00799,2.12038,,,,,100,0.0006,0.9,0,0,0,0
64,GBPCAD,GBPSGD,2015.11.30,16:00,-0.05420118559061293,0.0002599105764098386,-0.053918030485794244,-0.054484260541313834,2.00747,2.11928,,,,,100,0.0006,0.9,0,0,0,0
65,GBPCAD,GBPSGD,2015.11.30,16:15,-0.054654913039326236,-0.0004537274487133036,-0.05437173120638017,-0.05493801470302373,2.00637,2.11908,,,,,100,0.0006,0.9,0,0,0,0
66,GBPCAD,GBPSGD,2015.11.30,16:30,-0.055008848581887704,-0.00035393554256146764,-0.05472566674894164,-0.0552919502455852,2.00566,2.11908,,,,,100,0.0006,0.9,0,0,0,0
